Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3512407;Interior;Cordeirópolis;4171;67;;;
3512506;Interior;Coroados;538;15;;;
3512605;Interior;Coronel Macedo;425;19;;;
3512704;Interior;Corumbataí;368;7;;;
3512803;Interior;Cosmópolis;6340;151;;;
3512902;Interior;Cosmorama;607;33;;;
3513009;RMSP (exceto capital);Cotia;12435;511;;;
3513108;Interior;Cravinhos;1654;80;;;
3513207;Interior;Cristais Paulista;989;9;;;
3513306;Interior;Cruzália;148;3;;;
3513405;Interior;Cruzeiro;5542;76;;;
3513504;Interior;Cubatão;12105;400;;;
3513603;Interior;Cunha;752;8;;;
3513702;Interior;Descalvado;3062;58;;;
3513801;RMSP (exceto capital);Diadema;22880;1081;;;
3513850;Interior;Dirce Reis;151;3;;;
3513900;Interior;Divinolândia;1162;46;;;
3514007;Interior;Dobrada;501;8;;;
3514106;Interior;Dois Córregos;1374;37;;;
3514205;Interior;Dolcinópolis;165;6;;;
3514304;Interior;Dourado;660;13;;;
3514403;Interior;Dracena;4774;214;;;
3514502;Interior;Duartina;780;22;;;
3514601;Interior;Dumont;1111;17;;;
3514700;Interior;Echaporã;659;21;;;
3514809;Interior;Eldorado;1129;19;;;
3514908;Interior;Elias Fausto;1173;29;;;
3514924;Interior;Elisiário;434;6;;;
3514957;Interior;Embaúba;95;6;;;
3515004;RMSP (exceto capital);Embu das Artes;8941;403;;;
3515103;RMSP (exceto capital);Embu-Guaçu;4444;173;;;
3515129;Interior;Emilianópolis;337;6;;;
3515152;Interior;Engenheiro Coelho;2220;45;;;
3515186;Interior;Espírito Santo do Pinhal;4141;92;;;
3515194;Interior;Espírito Santo do Turvo;274;3;;;
3515202;Interior;Estrela d'Oeste;1127;25;;;
3515301;Interior;Estrela do Norte;291;4;;;
3515350;Interior;Euclides da Cunha Paulista;303;8;;;
3515400;Interior;Fartura;1150;33;;;
3515509;Interior;Fernandópolis;8734;229;;;
3515608;Interior;Fernando Prestes;728;7;;;
3515657;Interior;Fernão;191;0;;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;9124;369;;;
3515806;Interior;Flora Rica;115;4;;;
3515905;Interior;Floreal;181;6;;;
3516002;Interior;Flórida Paulista;1127;29;;;
3516101;Interior;Florínea;263;7;;;
3516200;Interior;Franca;28691;629;;;
3516309;RMSP (exceto capital);Francisco Morato;9895;385;;;
3516408;RMSP (exceto capital);Franco da Rocha;10684;329;;;
3516507;Interior;Gabriel Monteiro;227;5;;;
3516606;Interior;Gália;430;13;;;
3516705;Interior;Garça;3936;100;;;
3516804;Interior;Gastão Vidigal;150;15;;;
3516853;Interior;Gavião Peixoto;1176;13;;;
3516903;Interior;General Salgado;826;32;;;
3517000;Interior;Getulina;943;16;;;
3517109;Interior;Glicério;367;15;;;
3517208;Interior;Guaiçara;1207;20;;;
3517307;Interior;Guaimbê;445;6;;;
3517406;Interior;Guaíra;4163;174;;;
3517505;Interior;Guapiaçu;1732;58;;;
3517604;Interior;Guapiara;1968;73;;;
3517703;Interior;Guará;1640;76;;;
3517802;Interior;Guaraçaí;694;20;;;
3517901;Interior;Guaraci;903;19;;;
3518008;Interior;Guarani d'Oeste;151;4;;;
