Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3552809;RMSP (exceto capital);Taboão da Serra;16538;776;;;
3552908;Interior;Taciba;552;16;;;
3553005;Interior;Taguaí;1625;26;;;
3553104;Interior;Taiaçu;304;10;;;
3553203;Interior;Taiúva;777;11;;;
3553302;Interior;Tambaú;2043;39;;;
3553401;Interior;Tanabi;3588;85;;;
3553500;Interior;Tapiraí;533;7;;;
3553609;Interior;Tapiratiba;1242;18;;;
3553658;Interior;Taquaral;321;9;;;
3553708;Interior;Taquaritinga;5026;162;;;
3553807;Interior;Taquarituba;2854;70;;;
3553856;Interior;Taquarivaí;300;8;;;
3553906;Interior;Tarabai;635;23;;;
3553955;Interior;Tarumã;1478;36;;;
3554003;Interior;Tatuí;5690;353;;;
3554102;Interior;Taubaté;22941;637;;;
3554201;Interior;Tejupá;127;4;;;
3554300;Interior;Teodoro Sampaio;2042;35;;;
3554409;Interior;Terra Roxa;839;27;;;
3554508;Interior;Tietê;2999;82;;;
3554607;Interior;Timburi;115;4;;;
3554656;Interior;Torre de Pedra;99;7;;;
3554706;Interior;Torrinha;1012;17;;;
3554755;Interior;Trabiju;83;1;;;
3554805;Interior;Tremembé;2245;28;;;
3554904;Interior;Três Fronteiras;596;25;;;
3554953;Interior;Tuiuti;166;2;;;
3555000;Interior;Tupã;5482;186;;;
3555109;Interior;Tupi Paulista;1368;41;;;
3555208;Interior;Turiúba;167;3;;;
3555307;Interior;Turmalina;152;4;;;
3555356;Interior;Ubarana;833;14;;;
3555406;Interior;Ubatuba;5966;112;;;
3555505;Interior;Ubirajara;310;6;;;
3555604;Interior;Uchoa;1127;25;;;
3555703;Interior;União Paulista;165;4;;;
3555802;Interior;Urânia;1051;32;;;
3555901;Interior;Uru;133;3;;;
3556008;Interior;Urupês;689;31;;;
3556107;Interior;Valentim Gentil;1673;54;;;
3556206;Interior;Valinhos;11275;297;;;
3556305;Interior;Valparaíso;2364;59;;;
3556354;Interior;Vargem;171;5;;;
3556404;Interior;Vargem Grande do Sul;2332;55;;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;2141;77;;;
3556503;Interior;Várzea Paulista;6332;186;;;
3556602;Interior;Vera Cruz;558;33;;;
3556701;Interior;Vinhedo;7655;153;;;
3556800;Interior;Viradouro;1730;72;;;
3556909;Interior;Vista Alegre do Alto;660;10;;;
3556958;Interior;Vitória Brasil;179;7;;;
3557006;Interior;Votorantim;8650;379;;;
3557105;Interior;Votuporanga;12073;352;;;
3557154;Interior;Zacarias;234;8;;;
3557204;Interior;Chavantes;836;31;;;
3557303;Interior;Estiva Gerbi;664;30;;;
;;Ignorado;877;0;;;
;;;;;;;
;;;;;;;
